1	19	1	0	1	1	1	1	4	2	2	1
2	28	1	1	1	1	1	4	4	3	1	2
3	23	1	1	1	6	5	5	4	1	2	1
4	22	1	0	1	1	1	1	1	4	4	2
5	22	0	1	0	4	1	1	4	4	4	1
6	18	1	0	1	5	1	5	4	4	1	2
7	20	3	0	0	1	1	1	3	4	4	2
8	20	1	0	2	1	1	1	2	3	1	1
9	24	0	0	0	1	1	1	4	1	3	1
10	23	1	0	0	1	1	1	3	3	1	1
11	22	1	0	1	6	6	4	4	3	4	2
12	22	3	1	1	1	1	4	4	3	3	1
13	19	1	1	0	5	5	5	4	3	4	1
14	21	3	2	1	1	1	1	3	3	3	1
15	20	3	2	1	4	1	1	4	2	3	1
16	20	3	1	0	1	1	1	4	1	1	1
17	19	3	3	0	3	1	5	4	4	2	1
18	25	2	0	0	1	1	1	4	3	3	1
19	28	3	1	0	4	5	4	4	1	2	2
20	25	3	2	1	4	4	1	3	3	1	2
21	19	2	2	0	4	4	4	4	4	3	1
22	24	3	3	3	6	7	7	4	4	4	2
23	19	1	0	0	6	6	5	2	3	1	1
24	25	1	1	0	1	1	1	4	3	4	1
25	22	1	2	0	1	1	1	1	2	1	1
26	24	2	0	0	5	1	4	4	3	2	1
27	23	0	0	0	1	1	1	4	1	1	2
28	24	0	0	0	2	-999	5	1	1	2	2
29	20	0	0	0	6	6	6	1	1	1	1
30	24	0	0	0	6	5	5	1	1	1	2
31	20	0	0	0	2	2	5	1	1	1	1
32	26	0	0	0	1	1	1	1	1	1	2
33	20	0	0	0	5	5	5	1	1	1	1
34	20	0	0	0	1	1	1	1	1	1	1
35	24	0	0	0	4	3	3	1	1	1	2
36	22	0	0	0	6	5	4	2	4	3	2
37	23	0	0	0	1	1	1	1	2	1	1
38	20	1	1	1	7	6	6	2	1	1	1
39	25	0	0	0	6	6	6	1	1	1	1
40	24	0	0	0	7	7	6	1	1	1	2
41	25	0	0	0	1	1	1	1	1	1	1
42	22	0	0	0	1	1	1	4	1	1	1
43	23	0	0	0	7	7	7	1	1	1	1
44	19	0	0	0	4	4	3	1	1	1	1
45	25	0	0	0	6	7	7	4	4	1	1
46	27	0	0	0	2	2	6	1	1	1	2
47	23	0	0	0	4	4	6	1	4	1	2
48	24	0	0	0	7	7	7	1	1	1	1
49	24	1	0	0	5	5	5	2	1	1	2
50	25	0	0	0	7	7	7	1	1	1	2
51	26	0	0	0	7	7	7	2	1	1	2
52	20	0	0	0	7	7	7	3	1	1	2
53	27	2	2	0	4	4	4	4	1	3	2
54	26	0	0	0	1	1	1	1	1	1	1
55	27	0	0	0	2	2	7	1	1	1	2
56	27	0	0	0	5	5	7	4	4	1	1
57	28	0	0	0	1	1	1	1	1	1	1
58	31	1	0	0	4	3	4	4	1	1	1
59	23	3	3	3	7	7	6	4	4	1	2
60	25	0	0	0	1	1	1	1	4	1	1
61	22	2	1	0	1	1	1	4	2	1	1
62	26	2	0	0	1	1	1	4	1	1	1
63	24	3	0	0	7	1	1	3	4	1	1
64	25	0	0	0	1	1	1	4	2	2	1
65	24	0	0	0	3	1	1	4	2	1	1
66	29	0	2	0	4	4	4	2	1	1	2
67	28	0	0	0	4	1	1	4	4	4	2
68	22	0	0	0	7	7	1	1	1	2	2
69	26	0	0	0	1	1	1	4	2	4	1
70	19	-999	0	0	7	7	7	3	3	1	1
71	19	0	0	0	7	7	7	4	4	1	1
72	24	0	0	0	1	1	1	1	4	1	2
73	23	0	0	0	1	1	1	4	4	1	2
74	19	0	0	0	7	7	7	4	3	1	1
75	17	2	2	3	1	1	1	2	4	1	2
76	18	2	0	0	4	1	1	1	1	4	1
77	23	0	0	0	1	1	1	1	1	4	2
78	26	0	0	0	7	7	7	4	1	1	1
79	23	0	0	0	1	1	1	3	2	1	2
80	24	0	0	0	7	7	7	1	1	1	1
81	23	2	0	0	4	1	4	2	2	1	1
82	23	0	0	0	1	1	1	1	1	1	1
83	22	0	0	0	7	7	7	4	3	1	2
85	26	0	0	0	1	1	1	1	1	1	2
86	25	0	0	0	1	1	1	2	1	1	2
87	25	0	0	0	7	7	7	3	3	1	2
88	19	3	0	3	1	1	1	4	1	1	2
89	22	1	0	0	1	1	1	4	1	1	1
90	25	0	0	0	1	1	6	1	1	1	1
91	24	0	0	0	5	3	5	4	1	1	1
92	26	0	0	0	4	3	1	1	1	1	2
93	21	0	0	0	1	1	1	3	1	1	1
94	24	1	0	0	1	1	1	4	1	1	2
95	29	0	0	0	1	1	1	4	1	1	2
96	27	3	1	3	1	1	1	1	1	4	2
97	20	0	0	0	7	7	7	4	1	1	2
98	22	0	0	0	4	5	4	2	1	1	2
99	25	3	0	3	2	2	3	4	1	4	1
100	24	2	3	3	5	2	1	4	1	4	1
101	22	0	0	0	3	1	1	4	4	1	2
102	22	3	0	0	1	1	1	4	1	4	2
103	21	0	0	0	7	7	7	2	1	1	1
104	25	1	1	0	2	2	2	3	1	1	2
105	26	0	0	0	7	3	7	4	1	1	2
106	21	0	0	0	2	2	2	2	1	1	1
107	25	0	0	0	1	1	1	1	1	1	2
108	25	0	0	0	1	1	1	1	1	1	2
109	22	3	0	3	1	1	1	3	1	1	2
110	21	0	0	0	1	1	1	4	1	1	1
111	24	2	1	1	1	2	2	1	3	4	2
112	22	0	3	0	1	2	1	4	3	4	1
113	21	3	2	0	1	1	1	2	3	2	2
114	22	-999	3	3	1	1	1	2	2	4	1
115	20	-999	0	1	1	1	1	1	3	3	1
116	26	3	3	3	1	1	2	3	2	3	1
117	24	3	3	2	1	1	2	3	2	4	1
118	28	3	3	3	4	4	4	4	4	4	2
119	24	0	0	0	2	2	2	1	1	1	2
120	21	0	0	0	2	2	6	1	1	1	1
121	26	0	0	0	3	3	3	1	1	1	2
122	24	0	0	0	7	7	5	1	1	1	1
123	26	0	0	0	6	2	7	1	1	1	2
124	24	0	0	0	7	7	7	1	1	1	1
125	21	0	0	0	6	6	6	1	1	1	1
126	19	0	1	0	2	3	3	1	1	1	1
127	27	0	0	0	3	3	3	1	1	1	2
128	24	0	0	0	6	6	6	1	1	1	1
129	21	1	1	1	1	1	1	3	2	1	2
130	34	0	0	0	2	2	1	1	1	1	2
131	22	0	0	0	7	6	6	1	1	1	2
132	18	1	0	2	1	1	2	4	1	1	2
133	23	0	0	0	1	2	4	1	1	1	2
134	19	0	0	0	5	6	6	-999	-999	-999	1
135	25	0	0	0	2	6	3	1	1	1	2
136	26	0	0	0	7	7	6	1	1	1	2
137	24	0	0	1	1	1	1	1	1	1	1
138	27	1	2	2	1	1	6	2	1	1	1
139	25	0	0	0	7	6	6	1	1	1	1
140	26	2	2	0	1	2	2	2	2	1	1
141	23	0	0	0	2	2	3	1	1	1	2
142	20	0	0	0	6	6	6	1	1	1	1
143	22	0	0	0	2	2	7	1	1	1	1
144	27	0	0	0	2	2	2	1	1	1	2
